dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude,Season,Region,Disease,Infected,Avg household size,Area,Population,Under_18,18-24,25-44,45-64,Above_65,Median_age,Medianfamilyincome,Number_households,County_Served_hospital,Service_hospital,Unemp_rate
2009,10.478,0.259,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13.4
2009,15.447,0.267,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13.4
2009,19.058,0.452,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13.4
2009,21.103,0.348,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13.4
2009,22.769,0.277,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13.4
2009,17.043,0.22,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13.4
2009,10.364,0.153,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13.4
2009,8.217,0.181,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13.4
2009,-0.624,0.228,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13.4
2009,-5.36,0.288,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,72,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.372,0.214,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,72,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,3.579,0.14,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,72,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.478,0.259,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,72,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,15.447,0.267,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,72,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,19.058,0.452,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,72,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,21.103,0.348,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,72,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,22.769,0.277,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,72,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,17.043,0.22,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,72,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.364,0.153,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,72,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,8.217,0.181,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,72,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.624,0.228,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,72,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-5.36,0.288,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.372,0.214,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,3.579,0.14,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.478,0.259,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,15.447,0.267,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,19.058,0.452,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,21.103,0.348,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,22.769,0.277,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,17.043,0.22,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.364,0.153,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,8.217,0.181,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.624,0.228,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-5.36,0.288,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.372,0.214,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,3.579,0.14,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.478,0.259,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,15.447,0.267,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,19.058,0.452,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,21.103,0.348,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,22.769,0.277,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,17.043,0.22,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.364,0.153,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,8.217,0.181,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.624,0.228,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-5.36,0.288,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,118,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.372,0.214,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,118,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,3.579,0.14,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,118,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.478,0.259,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,118,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,15.447,0.267,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,118,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,19.058,0.452,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,118,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,21.103,0.348,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,118,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,22.769,0.277,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,118,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,17.043,0.22,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,118,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.364,0.153,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,118,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,8.217,0.181,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,118,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.624,0.228,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,118,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-5.36,0.288,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.372,0.214,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,3.579,0.14,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.478,0.259,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,15.447,0.267,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,19.058,0.452,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,21.103,0.348,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,22.769,0.277,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,17.043,0.22,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.364,0.153,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,8.217,0.181,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.624,0.228,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,2,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-5.36,0.288,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.372,0.214,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,3.579,0.14,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.478,0.259,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,15.447,0.267,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,19.058,0.452,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,21.103,0.348,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,22.769,0.277,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,17.043,0.22,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.364,0.153,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,8.217,0.181,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.624,0.228,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,1,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-5.36,0.288,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,110,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.372,0.214,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,110,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,3.579,0.14,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,110,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.478,0.259,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,110,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,15.447,0.267,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,110,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,19.058,0.452,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,110,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,21.103,0.348,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,110,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,22.769,0.277,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,110,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,17.043,0.22,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,110,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.364,0.153,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,110,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,8.217,0.181,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,110,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.624,0.228,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,110,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-5.36,0.288,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,3,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.372,0.214,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,3,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,3.579,0.14,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,3,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.478,0.259,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,3,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,15.447,0.267,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,3,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,19.058,0.452,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,3,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,21.103,0.348,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,3,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,22.769,0.277,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,3,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,17.043,0.22,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,3,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.364,0.153,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,3,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,8.217,0.181,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,3,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.624,0.228,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,3,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-5.36,0.288,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.372,0.214,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,3.579,0.14,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.478,0.259,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,15.447,0.267,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,19.058,0.452,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,21.103,0.348,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,22.769,0.277,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,17.043,0.22,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.364,0.153,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,8.217,0.181,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.624,0.228,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_UNSPECIFIED,0,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-5.36,0.288,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,85,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.372,0.214,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,85,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,3.579,0.14,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,85,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.478,0.259,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,85,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,15.447,0.267,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,85,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,19.058,0.452,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,85,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,21.103,0.348,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,85,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,22.769,0.277,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,85,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,17.043,0.22,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,85,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.364,0.153,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,85,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,8.217,0.181,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,85,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.624,0.228,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_A,85,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-5.36,0.288,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,4,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,-0.372,0.214,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,4,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,3.579,0.14,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,4,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,10.478,0.259,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,4,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,15.447,0.267,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,4,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,19.058,0.452,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,4,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,21.103,0.348,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,4,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,22.769,0.277,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,4,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
2009,17.043,0.22,New York,United States,40.99N,74.56W,2009-2010,NYC,INFLUENZA_B,4,2.6,42.03,1376261,26.6,11.6,28.2,23,10.5,32.8,38431,483449,1605,1397,13
